English Word,Translation,Part-of-Speech
acclamation,aclamación,{n} /æk.lə.ˈmeɪ.ʃən/ (applause)
acclimate,aclimatar,"{v} /ˈæk.lɪ.meɪt/ ((transitive, mainly US) to habituate to a climate not native; to acclimatize)"
acclimatization,aclimatación {f},{n} /ə.ˌklaɪ.mə.tə.ˈzeɪ.ʃən/ (the act of acclimatizing)
acclimatize,aclimatarse; aclimatarse,{v} /ɘ.ˈklaɪ.mə.ˌtaɪz/ (to get used to a new climate); {v} (to make used to a new climate)
accolade,elogio {m}; acolada {f}; galardón {f},{n} /ˈæk.ə.ˌleɪd/ (An expression of approval; praise); {n} (A salutation marking the conferring of knighthood); {n} (A special acknowledgment; an award)
accommodate,acomodar; acomodar; adaptar; satisfacer,{v} /əˈkɑməˌdeɪt/ (to render fit or suitable); {v} (to adapt to fit); {v} (to furnish with something desired)
accommodation,"alojamiento {m}, hospedaje {m}",{n} /ə.ˌkɒm.ə.ˈdeɪ.ʃən/ (lodging)
accompaniment,acompañamiento {m},{n} /ə.ˈkʌm.pə.ni.mənt/ (music: that which gives support or adds to the background)
accompanist,acompañante {m} {f},{n} /əˈ.kʌm.pə.nɪst/ (performer who takes the accompanying part)
accompany,acompañar; acompañar,{v} /ə.ˈkʌm.pə.ni/ (to perform an accompanying part or parts in a composition); {v} (to attend as a companion)
accomplice,cómplice; cómplice {m} {f},{n} (an associate in the commission of a crime); {n} /ə.ˈkɒm.plɪs/ (a cooperator)
accomplish,"efectuar, realizar, lograr; completar","{v} /ə.ˈkɒm.plɪʃ/ (to finish successfully); {v} (to complete, as time or distance)"
accomplished,"logrado, realizado, cumplido, consumado",{adj} /ə.ˈkɒm.plɪʃt/ (completed)
accomplishment,"logro {m}, éxito {m}",{n} /ə.ˈkɒm.plɪʃ.mənt/ (the act of accomplishing)
accord,"acuerdo {m}, convenio {m}; acordar, concordar con",{n} /ə.ˈkɔɹd/ (agreement or concurrence of opinion); {v} (transitive: to make to agree or correspond)
accordance,"acuerdo {m}, conformidad {f}",{n} /ə.ˈkɔɹd.əns/ (agreement; harmony; conformity)
accordingly,"en consecuencia; por consiguiente, consecuentemente",{adv} /ə.ˈkɔɹ.dɪŋ.li/ (Agreeably; correspondingly; suitably; in a manner conformable); {adv} (In natural sequence; consequently; so)
according to,"según, acorde a; según, acorde a, de acuerdo a",{prep} (based on statement); {prep} (in proportion)
accordion,acordeón {m},"{n} /ə.ˈkɔɹ.di.ən/ (A small, portable, keyed wind instrument)"
accordionist,acordeonista {m} {f},{n} /ə.ˈkɔɹd.i.ə.nəst/ (player of the accordion)
accost,acercarse a,{v} /ə.ˈkɔst/
account,cuenta {f}; cuenta {f}; cuenta {f}; ; ,{n} (an authorization to use a service); {n}; {n} /ə.ˈkaʊnt/ (a registry of pecuniary transactions); {v} (account for); {v} (credit (to))
accountability,responsabilidad {f},{n} /ə.ˌkaʊn.tə.ˈbɪl.ət.i/ (state of being accountable)
accountable,responsable,{adj} /ə.ˈkaʊn.tə.bəl/ (Having accountability)
accountably,responsablemente,{adv} /ə.ˈkaʊn.tə.bli/ (in an accountable manner)
accountancy,contabilidad {f},{n} /ə.ˈkaʊnt.ən.si/ (the profession of accounting)
accountant,"contable; [Latin America] contador {m}, contadora {f}, [Spain] contable {m} {f}; contable {m} [Spain], contador {m} [Latin America]","{n}; {n} /ə.ˈkaʊn.tənt/ (one who renders account; one accountable); {n} (one whose profession includes organizing, maintaining and auditing the records of another)"
accounting,contabilidad {f},{n} /ə.ˈkaʊn.tɪŋ/ (development and maintenance of system for recording and analyzing financial transactions)
accounts payable,"cuentas pendientes de pago {f} {p}, cuentas a pagar {f} {p}","{n} (money that is owed by a party, and is counted by that party as a debit)"
accounts receivable,deuda activa {f},{n} (total monetary amount)
accourage,,{v} /əˈkɜɹɪd͡ʒ/ (encourage)
Accra,Accra {f},{prop} /ə.ˈkɹɑ/ (capital of Ghana)
accredit,acreditar; acreditar,"{v} /ə.ˈkrɛd.ɪt/ (To put or bring into credit; to invest with credit or authority; to sanction); {v} (To send with letters credential, as an ambassador, envoy, or diplomatic agent; to authorize, as a messenger or delegate.)"
accreditation,"acreditación, homologación {f}",{n} /əˌkɹɛɾ.ɨˈteɪ.ʃən]/ (giving of credentials)
accretion,"aumento, crecimiento, acreción {f}, acrecencia {f}",{n} /ə.ˈkɹi.ʃən/ (act of increasing by natural growth)
accretion disk,disco de acrecimiento {m},{n} (structure formed by matter falling into a gravitational source)
accrual,"incremento {m}, acumulación {f}",{n} /əˈkruːəl/ (an increase)
accrue,"acumularse, aumentarse",{v} /əˈkɹuː/ (increase)
acculturation,aculturación {m},{n} /ə.ˌkʌl.tʃə.ˈreɪ.sən/ (process by which the culture of an isolated society changes)
acculture,aculturar,{v} /əˈkʌl.tʃəɹ/ (familiarize oneself with a new culture)
accumulate,"acumular, amontonar; acumularse",{v} /ə.ˈkjum.jə.ˌleɪt/ (to pile up); {v} (to grow in number)
accumulation,acumulación {f},"{n} /ə.ˌkjum.jə.ˈle.ʃən/ (act of accumulating, the state of being accumulated)"
accumulator,acumulador {m},{n} /ə.ˈkjum.jə.ˌleɪ.tɚ/ (one who or that which accumulates)
accuracy,"exactitud, precisión {f}",{n} /ˈæk.jɚ.ə.si/ (state of being accurate)
accurate,"preciso, exacto, justo, correcto",{adj} /ˈæk.jɚ.ɪt/ (exact or careful conformity to truth)
accusation,acusación {f}; acusación {f},{n} /ˌæk.jʊ.ˈzeɪ.ʃən/ (act of accusing or charging with a crime); {n} (declaration of fault or blame against another)
accusative,"acusativo; acusativo; acusativo {m}, caso acusativo {m}, complemento directo {m}",{adj} /ə.ˈkju.zə.tɪv/ (producing accusations; accusatory); {adj} (related to accusative case); {n} (accusative case)
accusative case,,{n} (case used to mark the immediate object)
accusatory,acusatorio,"{adj} /ə.ˈkju.zə.ˌtɔɹ.i/ (pertaining to, or containing, an accusation)"
accuse,"acusar, denunciar",{v} /ə.ˈkjuz/ (attribute blame to someone)
accused,acusado {m},{n} /ə.ˈkjuzd/ (defendant)
accuser,acusador {m},{n} /əˑˈkju.zɚ/ (one who accuses)
accustom,"acostumbrarse; acostumbrarse, habituar",{v}; {v} /ə.ˈkəs.təm/ (To make familiar by use)
accustomed,acostumbrado,{adj} /ə.ˈkəs.təm.əd/ (familiar)
ace,as {m}; as {m}; as {m}; es {m}; ; ace {m},{n} (card with a single spot); {n} /eɪs/ (single point or spot on a card or die); {n} (excellent military aircraft pilot); {n} (expert); {n} (golf: hole in one); {n} (tennis: point scored without the opponent hitting the ball)
acedia,,{n} /əˈsiːdɪə/ (boredom)
acenaphthene,acenafteno {m},{n} (hydrocarbon found in coal tar)
acene,"aceno {m}, poliaceno {m}",{n} (polycyclic aromatic hydrocarbon)
ace of clubs,as de tréboles {m},{n} (playing card)
ace of diamonds,"as de diamantes {m}, as de oros {m}",{n} (playing card)
ace of hearts,as de corazones {m},{n} (playing card)
ace of spades,as de picos {m},{n} /eɪs.əv.speɪdz/ (the playing card belonging to the spades suit and featuring one pip)
acerb,acerbo,{adj} (bitter to the taste)
acerbic,acerbo; acerbo,{adj} /əˈsɜ(ɹ)bɪk/ (sour or bitter); {adj} (sarcastic or cynical)
acerbity,amargura {f},{n} /əˈsɝbɪdi/
acerola,"acerola {f}, semeruco {m}",{n} (fruit)
acetamide,acetamida {f},{n} (amide of acetic acid)
acetate,acetato {m},{n} (salt or ester of acetic acid)
acetic,acético; acético,{adj} (pertaining to acetic acid); {adj} (pertaining to vinegar)
acetic acid,ácido acético {m},"{n} (clear colourless organic acid, CH₃COOH)"
acetify,acetificar,{v} (convert into acid or vinegar)
acetimeter,acetímetro {m},{n} (an instrument)
acetone,acetona {f},{n} (the organic compound (CH))
acetyl,"acetil {m}, acetilo {m}",{n} (univalent radical)
acetyl chloride,cloruro de etanoilo,{n} (acyl chloride of acetic acid)
acetylcholine,acetilcolina {f},{n} (the neurotransmitter compound)
acetylcholinesterase,acetilcolinesterasa {f},{n} (enzyme)
acetylene,acetileno {m},{n} /ə ˈsɛt əl ˌin/ (acetylene)
acetylglucosamine,acetilglucosamina {f},{n} (amide derivative of glucose)
acetylneuraminic,acetilneuramínico,{adj} (describing acetyle derivatives)
acetylneuraminic acid,ácido acetilneuramínico {m},{n} (sialic acid)
acetylsalicylic,acetilsalicílico,{adj} (derivative)
acetylsalicylic acid,ácido acetilsalicílico {m},{n} (acetate ester of salicylic acid; aspirin)
acetyltransferase,,{n} (transacetylase)
a chain is only as strong as its weakest link,una cadena es tan fuerte como su eslabón más débil,{proverb} (aphorism)
ache,"dolor {m}; doler, sufrir",{n} (dull pain); {v} /eɪk/ (be in pain)
ache for,"anhelar, ansiar",{v} (to desire or want very much)
achene,aquenio {m},{n} /əˈkiːn/ (small dry fruit)
achieve,"conseguir, lograr; lograr, realizar; conseguir, lograr","{v} /əˈtʃiːv/ (to carry out successfully; to accomplish); {v}; {v} (to obtain, or gain as the result of exertion)"
achievement,"realización {f}, logro {m}",{n} /əˈtʃiːvmənt/
Achilles,Aquiles {m},{prop} /əˈkɪliːz/ (Greek mythical hero)
Achilles heel,; talón de Aquiles {m},{n} (Achilles' tendon); {n} /əˌkɪl.iːz ˈhiːl/ (vulnerability in an otherwise strong situation)
Achilles tendon,"tendón aquíleo {m}, tendón de Aquiles {m}, tendón calcáneo {m}",{n} (strong tendon in the calf of the leg)
achondroplasia,acondroplasia {f},{n} (the genetic disorder)
achoo,¡achís!,{interj} /əˈt͡ʃuː/ (the sound of a sneeze)
achromatic,acromático {m}; acromático {m}; acromático {m},{adj} (biology: uncoloured); {adj} (containing components to prevent colour-related distortion); {adj} /eɪˈkɹəʊ.mæt.ɪk/ (optics: free from colour)
achromaticity,,{n} (achromatism)
achromatism,acromatismo,{n} (achromatopia)
acid,"agrio, ácido; ácido; malhumorado; ácido {m}; ácido {m}","{adj} /ˈæs.ɪd/ (sour, sharp, or biting to the taste); {adj} (of or pertaining to an acid); {adj} (sour-tempered); {n} (a sour substance); {n} (in chemistry)"
acidic,ácido; ácido,{adj} (chemistry: having pH less than 7); {adj} (of or relating to acid)
acidification,acidificación,"{n} (the act or process of making something sour (acidifying), or changing into an acid)"
acidify,acidificar,{v} (to make something acidic)
acidimeter,acidímetro {m},{n} (instrument)
acidimetry,acidimetría {f},{n} (measurement of the strength of acids)
acidity,acidez {f},{n} /əˈsɪdɪti/ (quality or state of being acid)
acidness,,{n} (acidity)
acidosis,acidosis {f},{n} (abnormally increased acidity of the blood)
acid rain,lluvia ácida {f},{n} (Unusually acidic rain)
acinesic,,{adj} (akinesic)
acknowledged,"reconocido, aceptado, admitido",{adj} (recognized)
acknowledgement,reconocimiento {m}; reconocimiento {m},{n} (act of acknowledging); {n}
acknowledgment,reconocimiento,{n} (act of acknowledging)
aclinic,aclínico,{adj} (without inclination)
acme,"colmo {m}, apogeo {m}, cúspide {f}",{n} /ˈækmi/ (the highest point)
acne,acné; acné {m},{n}; {n} /ˈæk.ni/ (a skin condition)
acolyte,ayudante {m} {f},{n} (in general: assistant)
aconite,acónito {m},"{n} /ˈækənaɪt/ (herb, wolfsbane)"
acorn,bellota {f},{n} (fruit of the oak tree)
acorn squash,calabaza bellota,{n}
acorn woodpecker,carpintero bellotero {m},{n}
acoustic,acústico; acústico,{adj} (pertaining to hearing or the science of sounds); {adj} (producing or produced without electrical amplification)
acoustical,acústico,{adj} (of or pertaining to hearing or acoustics)
acoustically,acústicamente,{adv} (in an acoustic manner)
acoustic guitar,guitarra acústica {f},{n} (hollow-body guitar)
acoustics,acústica {f}; acústica {f},{n} (physics: a science of sounds); {n} (quality of a space for doing music)
acquaint,familiarizar,{v} (to familiarize; to accustom)
acquaintance,"amistad {f}, conocimiento {m}, junta {f}, relación {f}, trato {m}; conocido {m}, conocida {f}",{n} /ʌˈkwen.tɛns/ (state of being acquainted); {n} (person)
acquainted,conocido,{adj} (familiar)
acquiesce,conformarse; consentir,{v} /ˌækwiˈɛs/ (rest satisfied); {v} (concur upon conviction)
acquiescence,"aquiescencia {f}, consentimiento {m}",{n} /ˈæk.wiːˌɛs.əns/ (silent or passive assent)
acquire,obtener; adquirir,"{v} /əˈkwaɪɚ/ (to get); {v} (to gain, usually by one's own exertions; to get as one's own)"
acquisition,adquisición {f},{n} /æ.kwɪ.ˈzɪ.ʃən/ (act or process of acquiring)
acquisitive,"adquisitivo, codicioso",{adj} (able to make acquisitions)
acquit,"absolver, exculpar; exculpar",{v} /əˈkwɪt/ (to discharge from an obligation); {v} (to discharge a claim or debt)
acquittal,absolución {f},{n} /əˈkwɪ.d(ə)l/ (legal decision)
acre,acre {m},{n} /ˈeɪ.kɚ/ (unit of surface area)
acreage,superficie en acres {f},{n} (land measured in acres)
acrid,"acre; acre, mordaz","{adj} /ˈækɹɪd/ (Sharp and harsh, or bitter and not to the taste; pungent); {adj} (Caustic; bitter; bitterly irritating)"
acrimonious,"áspero {m}, cáustico {m}, sarcástico {m}",{adj} /æk.ɹɪ.ˈmoʊ.ni.əs/ (sharp and harsh)
acrimony,acrimonia {f},{n} (bitter hatred)
acrobat,acróbata {m} {f},"{n} /ˈæk.ɹo.bæt/ (an athlete who performs acts requiring skill, agility and coordination)"
acrobatic,acrobático,{adj} (of or pertaining to an acrobat)
acromegaly,acromegalia {f},{n} (chronic disease marked by enlargement of the bones)
acronym,acrónimo {m},{n} /ˈæk.ɹə.nɪm/ (word formed by initial letters)
acropolis,acrópolis {f},{n} /əˈkɹɒpəlɪs/ (promontory of Ancient Greek cities)
Acropolis,Acrópolis {f},{prop} /əˈkɹɒpəlɪs/ (Athenian Acropolis)
across,a través; al otro lado de,{prep} /əˈkrɔs/ (from the far side); {prep} (on the opposite side)
across the board,generalizado,{adj} (pertaining to all categories or things)
acrostic,acróstico {m},{n} (poem or text with certain letters spelling out a name or message)
acrylamide,acrilamida {f},{n} (Amide of acrylic acid)
acrylate,acrilato {m},{n} (salt or ester of acrylic acid)
acrylic,acrílico; acrílico {m},{adj} /əˈkɹɪl.ɪk/ (derived from acrylic acid or acrylonitrile); {n} (acrylic resin)
acrylic acid,ácido acrílico {m},{n} (unsaturated organic acid: C₃H₄O₂)
acrylonitrile,acrilonitrilo {m},{n} (toxic colourless liquid)
act,"acto {m}; acto {m}; hecho {m}; acto {m}, acción {f}; ley {f}; actuar; comportarse; actuar",{n} /ækt/ (deed); {n} (division of theatrical performance); {n} (formal record of something done); {n} (process of doing); {n} (statute); {v}; {v} (to behave in a certain way); {v} (to perform a theatrical role)
acting,"en funciones, suplente",{adj} /ˈæktɪŋ/ (temporarily assuming the duties or authority)
actinide,actínido {m},{n} (a chemical element positioned under the lanthanides in the periodic table)
actinium,actinio {m},{n} (chemical element)
actinometer,actinómetro {m},{n} (measuring device)
action,acción {f}; acción {f}; acción {f}; acción {f},{interj} (signifying the start of something); {n} /ˈæk.ʃən/ (something done so as to accomplish a purpose); {n} (law: A charge); {n} (way of motion or functioning)
actions speak louder than words,"obras son amores, que no buenas razones",{proverb} (it's more effective to act than speak)
activate,activar; activar,{v} /ˈæktɪˌveɪt/ (to put into action); {v} (to turn on)
activated carbon,"carbón activado {m}, carbón grafitizado {m}",{n} (a very absorbent form of finely powdered carbon)
activation,activación {f},{n} (making active)
active ingredient,principio activo {m},{n} (component responsible of activity)
actively,"activamente, enérgicamente",{adv} (in an active manner)
active voice,voz activa {f},{n} (the form in which the subject of a verb carries out some action)
active volcano,volcán activo {m},{n} (active volcano)
activist,activista {m} {f},{n} (one who is politically active)
activistic,,{adj} (activist)
activity,actividad {f}; actividad {f}; actividad {f},{n} (something done as an action or a movement); {n} (something done for pleasure or entertainment); {n} (The state or quality of being active; nimbleness; agility; vigorous action or operation; energy; active force)
act of God,"fuerza mayor {f}, caso fortuito {m}, cosa de Dios {f}",{n} (unforeseen occurrence)
actor,"actor {m}, actriz {f}; ",{n} /ˈæk.təɹ/ (person who performs in a theatrical play or film); {n} (plaintiff)
actress,actriz {f},{n} /ˈæktɹəs/ (female actor)
actual,"real, existente, verdadero; actual, real","{adj} /ˈæk.(t)ʃʊ.əl/ (existing in act or reality, not just potentially); {adj} (in action at the time being)"
actuality,realidad {f},{n} (the state of existing)
actually,"en realidad, de hecho, realmente, de hecho, de veras, [obsolete] de vero",{adv} /ˈæk.(t)ʃu.ə.li/ (really)
actuary,actuario {m},{n} (maker of insurance calculations)
acumen,perspicacia {f},{n} /ə.kjuˈmən/ (quickness of perception or discernment)
acuminate,acuminado,{adj} /əˈkjuːmɪnət/ (tapering to a point)
acupuncturation,,{n} (acupuncture)
acupuncture,acupuntura {f},{n} /ˈæ.kju.ˌpʌŋk.t͡ʃɝ/ (insertion of needles for remedial purposes)
acute,"grave; ; agudo; agudo, perspicaz, sagaz; ",{adj} /əˈkjuːt/ (urgent); {adj} (geometry: acute-angled); {adj} (geometry: of an angle); {adj} (sensitive); {n} (acute accent)
acute accent,acento agudo {m},{n} (acute accent)
acutely,intensamente,{adv} (In an acute manner)
acyl,"acil {m}, acilo {m}",{n} (any of a class of organic radicals)
acylglycerol,acilglicerol {m},{n} (any ester of glycerol)
ad,"anuncio {m}, aviso {m}, aviso publicitario {m}, anuncio publicitario {m}",{n} /æd/ (short form of advert)
AD,"A.C., Año de Cristo",{initialism} (anno Domini)
adage,"adagio {m}, refrán {m}, dicho {m}",{n} /ˈædɪdʒ/ (old saying)
Adam,"Adam, Adán; Adán",{prop} (first man in the Bible and Qur’an); {prop} (male given name)
Adam and Eve,Adán y Eva,{prop} (the first man and woman (according to Genesis))
adamant,"firme, categórico, inflexible, impenetrable, obstinado; adamantino",{adj} (determined; unshakeable; unyielding); {n} (a rock or mineral held by some to be of impenetrable hardness; a name given to the diamond and other substances of extreme hardness)
adamantane,adamantano {m},{n} (polycyclic hydrocarbon)
Adam's apple,"bocado de Adán {m}, nuez {f}, nuez de Adán {f}, manzana de Adán {f}",{n} (the lump in the throat)
adapt,"adaptar, ajustar; adaptarse",{v} /əˈdæpt/ (To make suitable); {v} (to change to make oneself suitable)
adaptability,"adaptabilidad {f}, flexibilidad {f}",{n} (quality of being adaptable; a quality that renders adaptable)
adaptable,"adaptable, amoldable",{adj} /əˈdæptəbəl/ (capable of adapting or of being adapted)
adaptation,"ajuste {f}, modificación {f}; adaptación {f}, modificación {f}; versión {f}",{n} (adjustment to extant conditions); {n} /ˌædæpˈteɪʃən/ (the quality of being adapted); {n} (variation)
adaptative,,{adj} (adaptive)
